sys_name,ms,dms,metal,dmetal,Mtp,dMtp,M_r,dM_r,M_gi,dM_gi,com,dcom,N_r,N_gi,n_planets
K2-263,0.88,0.03,-0.08,0.05,0.09317,0.019549999999999998,0.0,0.0,0.09317,0.019549999999999998,0.2573,0.11087928517763228,0,2,2
K2-229,0.87,0.01,-0.09,0.02,0.14600000000000002,0.14600000000000002,0.0,0.0,0.14600000000000002,0.14600000000000002,0.13376917808219177,0.2699486301369863,0,2,2
K2-233,0.8,0.03,0.07,0.06,0.036500000000000005,0.0217,11.588750000000001,6.889749999999999,0.0,0.0,0.11864213698630137,0.1403522567836367,2,0,2
Kepler-167,0.77,0.03,-0.03,0.08,4.006,3.7030000000000003,1.905,0.9525,4.0,3.7,1.8873796804792808,3.5572718564190655,1,1,2
Kepler-419,1.39,0.07,0.17600000000000002,0.07,9.8,0.7,0.0,0.0,9.8,0.7,1.3458163265306122,0.3116399416909621,0,2,2
Kepler-117,1.13,0.02,-0.04,0.1,1.9340000000000002,0.213,0.0,0.0,1.9340000000000002,0.213,0.2737947259565667,0.06144900549573355,0,2,2
Kepler-103,1.09,0.07,0.07,0.11,0.14500000000000002,0.10600000000000001,9.8425,8.572500000000002,0.114,0.079,0.5535420689655172,0.7999459262782401,1,1,2
Kepler-10,0.91,0.021,-0.15,0.04,0.03769,0.00834,11.966575000000002,2.64795,0.0,0.0,0.15490023879013004,0.06210530622206645,2,0,2
KOI-142,0.99,0.02,0.27,0.06,3.7239999999999998,0.176,0.0,0.0,3.7239999999999998,0.176,2.0457182062298602,0.23224978633094934,0,2,2
Kepler-50,1.24,0.05,0.03,0.06,0.21000000000000002,0.21000000000000002,0.0,0.0,0.21000000000000002,0.21000000000000002,0.08223809523809524,0.18604761904761905,0,2,2
Kepler-539,1.05,0.04,-0.01,0.07,3.37,1.49,0.0,0.0,3.37,1.49,1.8670136498516319,2.0948784386584367,0,2,2
Kepler-56,1.32,0.13,0.2,0.16,0.6399999999999999,0.072,0.0,0.0,0.6399999999999999,0.072,0.15837500000000004,0.04089156250000001,0,2,2
Kepler-68,1.08,0.05,0.12,0.07400000000000001,0.030489999999999996,0.00975,9.680575,3.095625,0.0,0.0,0.06778310265660874,0.04732659399481585,2,0,2
Kepler-87,1.1,0.05,-0.17,0.03,1.04,0.163,6.3500000000000005,0.9525,1.02,0.16,0.48475,0.18015600961538464,1,1,2
K2-38,2.24,1.67,0.28,0.04,0.09115,0.044469999999999996,9.890125,4.594225,0.06,0.03,0.0658174437739989,0.06472023833932782,1,1,2
K2-36,0.79,0.01,-0.09,0.04,0.036809999999999996,0.010700000000000001,11.687175,3.39725,0.0,0.0,0.04343333333333334,0.026142425065652456,2,0,2
LHS 1140,0.146,0.019,-0.24,0.1,0.02765,0.00403,8.778875,1.279525,0.0,0.0,0.07984316455696203,0.024355784924577104,2,0,2
K2-3,0.6,0.09,-0.32,0.13,0.027120000000000002,0.006200000000000001,8.610600000000002,1.9685000000000001,0.0,0.0,0.09313384955752213,0.05120029009058398,2,0,2
K2-240,0.58,0.01,-0.1,0.1,0.030199999999999998,0.0015,9.5885,0.47624999999999995,0.0,0.0,0.08231655629139073,0.009989895180035964,2,0,2
K2-24,1.07,0.06,0.34,0.04,0.10822999999999999,0.01227,0.0,0.0,0.10822999999999999,0.01227,0.1956321722258154,0.04739653287638136,0,2,2
HAT-P-44,0.9390000000000001,0.040999999999999995,0.33,0.1,1.992,0.231,0.0,0.0,1.992,0.231,0.571422891566265,0.14861686142158997,0,2,2
Kepler-36,1.03,0.02,-0.18,0.04,0.034480000000000004,0.0008799999999999999,10.947400000000002,0.2794,0.0,0.0,0.12375678654292344,0.007881176686710343,2,0,2
HAT-P-11,0.809,0.03,0.31,0.05,2.3735999999999997,0.5047,0.0,0.0,2.3735999999999997,0.5047,4.003581395348838,1.8764389577993594,0,2,2
pi Men,1.094,0.039,0.08,0.03,13.02517,1.00267,4.816475,0.8477250000000001,13.01,1.0,3.304225333980286,0.5472960540263208,1,1,2
EPIC 212737443,0.69,0.038,-0.13699999999999998,0.12,0.05937,0.01643,18.849975,5.216525,0.0,0.0,0.19088529560384032,0.10985860547028964,2,0,2
EPIC 220674823,0.97,0.04,0.13,0.06,0.044300000000000006,0.012400000000000001,14.065250000000002,3.9370000000000003,0.0,0.0,0.05228487584650113,0.039420597302406636,2,0,2
OGLE-2012-BLG-0563L,0.34,0.2,-0.66,0.07,0.39,0.23,0.0,0.0,0.39,0.23,0.74,1.292820512820513,0,1,1
WASP-79,1.56,0.09,0.03,0.1,0.9,0.09,0.0,0.0,0.9,0.09,0.0539,0.01168,0,1,1
NGTS-8,0.89,0.05,0.24,0.09,0.93,0.04,0.0,0.0,0.93,0.04,0.035,0.004010752688172043,0,1,1
NGTS-9,1.34,0.05,0.31,0.15,2.9,0.17,0.0,0.0,2.9,0.17,0.057999999999999996,0.0098,0,1,1
WASP-78,2.02,0.09,-0.35,0.14,0.89,0.08,0.0,0.0,0.89,0.08,0.0415,0.00806067415730337,0,1,1
OGLE-TR-111,0.82,0.15,0.12,0.28,0.54,0.1,0.0,0.0,0.54,0.1,0.047,0.018407407407407407,0,1,1
OGLE-TR-10,1.18,0.04,0.28,0.1,0.68,0.15,0.0,0.0,0.68,0.15,0.04162,0.01840176470588235,0,1,1
WASP-8,1.033,0.05,0.17,0.07,2.244,0.09300000000000001,0.0,0.0,2.244,0.09300000000000001,0.0801,0.008239304812834225,0,1,1
WASP-76,1.46,0.07,0.23,0.1,0.92,0.03,0.0,0.0,0.92,0.03,0.033,0.0026521739130434784,0,1,1
OGLE-TR-113,0.78,0.02,0.14,0.14,1.24,0.17,0.0,0.0,1.24,0.17,0.0229,0.006479032258064516,0,1,1
OGLE-TR-132,1.26,0.03,0.37,0.07,1.17,0.14,0.0,0.0,1.17,0.14,0.030599999999999995,0.008123076923076924,0,1,1
WASP-75,1.14,0.06,0.07,0.09,1.07,0.05,0.0,0.0,1.07,0.05,0.0375,0.004304672897196262,0,1,1
NGTS-6,0.7876,0.016,0.11,0.09,1.33,0.027999999999999997,0.0,0.0,1.33,0.027999999999999997,0.016623018,0.0006999265473684209,0,1,1
WASP-80,0.58,0.05,-0.14,0.16,0.5539999999999999,0.039,0.0,0.0,0.5539999999999999,0.039,0.0346,0.005971480144404333,0,1,1
OGLE-TR-211,1.33,0.05,0.11,0.1,0.75,0.15,0.0,0.0,0.75,0.15,0.051,0.021399999999999995,0,1,1
WASP-81 ,1.08,0.057999999999999996,-0.36,0.14,0.7290000000000001,0.035,0.0,0.0,0.7290000000000001,0.035,0.039080000000000004,0.004472537722908093,0,1,1
